ObjectId,service_date,line,estimated_boardings
409,2020/08/20 04:00:00+00,Middleborough/Lakeville,1039
410,2020/08/20 04:00:00+00,Lowell,909
411,2020/08/20 04:00:00+00,Haverhill,712
412,2020/08/20 04:00:00+00,Kingston,705.5
413,2020/08/20 04:00:00+00,Needham,879
414,2020/08/20 04:00:00+00,Fitchburg,697
415,2020/08/20 04:00:00+00,Greenbush,387.5
416,2020/08/20 04:00:00+00,Fairmount,413
417,2020/08/21 04:00:00+00,Providence/Stoughton,3024.5
418,2020/08/21 04:00:00+00,Newburyport/Rockport,1752
419,2020/08/21 04:00:00+00,Framingham/Worcester,1356
420,2020/08/21 04:00:00+00,Franklin/Foxboro,1292
421,2020/08/21 04:00:00+00,Middleborough/Lakeville,850.5
422,2020/08/21 04:00:00+00,Lowell,857
423,2020/08/21 04:00:00+00,Haverhill,631
424,2020/08/21 04:00:00+00,Kingston,648
425,2020/08/21 04:00:00+00,Needham,751.5
426,2020/08/21 04:00:00+00,Fitchburg,644.5
427,2020/08/21 04:00:00+00,Greenbush,321
428,2020/08/21 04:00:00+00,Fairmount,466.5
429,2020/08/24 04:00:00+00,Providence/Stoughton,3178
430,2020/08/24 04:00:00+00,Newburyport/Rockport,1634
431,2020/08/24 04:00:00+00,Framingham/Worcester,1323
432,2020/08/24 04:00:00+00,Franklin/Foxboro,1290.5
433,2020/08/24 04:00:00+00,Middleborough/Lakeville,975.5
434,2020/08/24 04:00:00+00,Lowell,913
435,2020/08/24 04:00:00+00,Haverhill,685
436,2020/08/24 04:00:00+00,Kingston,732.5
437,2020/08/24 04:00:00+00,Needham,767.5
438,2020/08/24 04:00:00+00,Fitchburg,642
439,2020/08/24 04:00:00+00,Greenbush,321.5
440,2020/08/24 04:00:00+00,Fairmount,493.5
441,2020/08/25 04:00:00+00,Providence/Stoughton,2992.5
442,2020/08/25 04:00:00+00,Newburyport/Rockport,1588
443,2020/08/25 04:00:00+00,Framingham/Worcester,1260
444,2020/08/25 04:00:00+00,Franklin/Foxboro,1433.5
445,2020/08/25 04:00:00+00,Middleborough/Lakeville,901.5
446,2020/08/25 04:00:00+00,Lowell,848
447,2020/08/25 04:00:00+00,Haverhill,774
448,2020/08/25 04:00:00+00,Kingston,742
449,2020/08/25 04:00:00+00,Needham,797
450,2020/08/25 04:00:00+00,Fitchburg,665
451,2020/08/07 04:00:00+00,Middleborough/Lakeville,938
452,2020/09/01 04:00:00+00,Providence/Stoughton,2823.5
453,2020/09/01 04:00:00+00,Newburyport/Rockport,1774
454,2020/09/01 04:00:00+00,Framingham/Worcester,1207.5
455,2020/09/01 04:00:00+00,Franklin/Foxboro,1463.5
456,2020/09/01 04:00:00+00,Middleborough/Lakeville,942.5
457,2020/09/01 04:00:00+00,Lowell,1058
458,2020/09/01 04:00:00+00,Haverhill,796
459,2020/09/01 04:00:00+00,Kingston,771
460,2020/09/01 04:00:00+00,Needham,527
461,2020/09/01 04:00:00+00,Fitchburg,764
462,2020/09/01 04:00:00+00,Greenbush,396.5
463,2020/09/01 04:00:00+00,Fairmount,440
464,2020/09/02 04:00:00+00,Providence/Stoughton,2666
465,2020/09/02 04:00:00+00,Newburyport/Rockport,1525
466,2020/09/02 04:00:00+00,Framingham/Worcester,1408
467,2020/09/02 04:00:00+00,Franklin/Foxboro,1539.5
468,2020/09/02 04:00:00+00,Middleborough/Lakeville,848
469,2020/09/02 04:00:00+00,Lowell,1031
470,2020/09/02 04:00:00+00,Haverhill,708
471,2020/09/02 04:00:00+00,Kingston,775
472,2020/09/02 04:00:00+00,Needham,2156.5
473,2020/09/02 04:00:00+00,Fitchburg,714
474,2020/09/02 04:00:00+00,Greenbush,354
475,2020/09/02 04:00:00+00,Fairmount,413.5
